date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:47:52	113806/-1	---M--	200	added ('OK')	text/html	date:Sun,%2031%20Mar%202024%2015:47:50%20GMT	https://o-cr.org/	C:/My%20Web%20Sites/o-cr.org/o-cr.org/index.html	(from )
17:47:55	3383/3383	---M--	200	added ('OK')	image/png	etag:%22d37-5f705830a2c4e%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-57x57.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-57x57.png	(from https://o-cr.org/)
17:47:55	3500/3500	---M--	200	added ('OK')	image/png	etag:%22dac-5f7058316de72%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-60x60.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-60x60.png	(from https://o-cr.org/)
17:47:55	4198/4198	---M--	200	added ('OK')	image/png	etag:%221066-5f7058319ad3a%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-72x72.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-72x72.png	(from https://o-cr.org/)
17:47:55	4446/4446	---M--	200	added ('OK')	image/png	etag:%22115e-5f7058314fa0d%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-76x76.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-76x76.png	(from https://o-cr.org/)
17:47:57	6868/6868	---M--	200	added ('OK')	image/png	etag:%221ad4-5f70583059861%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-114x114.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-114x114.png	(from https://o-cr.org/)
17:47:58	7215/7215	---M--	200	added ('OK')	image/png	etag:%221c2f-5f705831c1e41%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-120x120.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-120x120.png	(from https://o-cr.org/)
17:47:58	8978/8978	---M--	200	added ('OK')	image/png	etag:%222312-5f70582ffcbf1%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-144x144.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-144x144.png	(from https://o-cr.org/)
17:47:58	9523/9523	---M--	200	added ('OK')	image/png	etag:%222533-5f705830aa94f%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-152x152.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-152x152.png	(from https://o-cr.org/)
17:48:00	11752/11752	---M--	200	added ('OK')	image/png	etag:%222de8-5f70583124a85%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-180x180.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/apple-icon-180x180.png	(from https://o-cr.org/)
17:48:01	10014/10014	---M--	200	added ('OK')	image/png	etag:%22271e-5f70583023cf7%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/android-icon-192x192.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/android-icon-192x192.png	(from https://o-cr.org/)
17:48:01	1950/1950	---M--	200	added ('OK')	image/png	etag:%2279e-5f705831c1e41%22	https://o-cr.org/wp-content/themes/ocr/src/favicon/favicon-32x32.png	C:/My%20Web%20Sites/o-cr.org/o-cr.org/wp-content/themes/ocr/src/favicon/favicon-32x32.png	(from https://o-cr.org/)
